Country,Count
Unknown,2316
Country_271835,870
Oceanus,42
Marebak,14
Nalakond,6
Country_789455,6
Uzilandor,5
Oceanterra,5
Rio Isla,4
Osterivaria,4
Arreciviento,4
Country_663412,4
Country_907876,4
Syrithania,4
Polarisdom,4
Country_990614,3
Country_198078,3
Country_19028,3
Country_746165,3
Helvoris,3
Riodelsol,3
Country_821432,3
Puerto del Mar,3
Country_895471,3
Ivarisia,2
Zambalantis,2
Country_146155,2
Rio Solovia,2
Vesperand's Bay,2
Kethanor,2
Country_459036,2
Country_552976,2
Islavaria,2
Country_874023,2
Country_144251,2
Country_712875,2
Country_246944,2
Country_204272,2
Country_532332,2
Country_913963,1
Country_760479,1
Country_338740,1
Helixia,1
Country_931736,1
Country_256617,1
Country_437825,1
Country_951683,1
Wysterion,1
Uzifrica,1
Country_948318,1
Country_800653,1
Country_12955,1
Country_887466,1
Country_950691,1
Merigrad,1
Vesperlandia,1
Country_286580,1
Country_709784,1
Country_940095,1
Uzimoria,1
Country_925382,1
Country_483478,1
Country_449947,1
Mawazam,1
Luminsia,1
Orvietea,1
Country_358951,1
Country_11605,1
Country_226679,1
Country_753331,1
Country_462996,1
Country_984533,1
Country_54147,1
Country_980042,1
Country_214033,1
Country_542476,1
Country_57382,1
Country_242593,1
Country_982684,1
Country_675160,1
Quandoria,1
Country_322527,1
Country_342065,1
Country_233547,1
Country_981995,1
Brindivaria,1
Country_699698,1
Country_245265,1
Country_193919,1
Country_230197,1
Country_247330,1
Country_415128,1
Country_216139,1
Country_443882,1
Country_461742,1
Country_789037,1
Country_470077,1
Country_996415,1
Country_670336,1
Country_492608,1
Country_244549,1
Country_615819,1
Country_729731,1
Country_283574,1
Country_766259,1
Country_697428,1
Country_984172,1
Country_167470,1
Country_945731,1
Vesperanda,1
Country_34878,1
Country_323509,1
Quandarix,1
Country_628643,1
Country_338923,1
Country_928409,1
Country_614826,1
Ariuzima,1
